t_seconds,client,account_returned,x_cache_status
0.07,household33,household33,MISS
0.072,household13,household33,HIT
0.073,household03,household33,HIT
0.073,household15,household33,HIT
0.073,household16,household33,HIT
0.084,household31,household33,HIT
0.127,household02,household33,HIT
0.136,household27,household33,HIT
0.18,household01,household33,HIT
0.187,household06,household33,HIT
0.204,household26,household33,HIT
0.219,household11,household33,HIT
0.247,household36,household33,HIT
0.251,household40,household33,HIT
0.289,household10,household33,HIT
0.301,household23,household33,HIT
0.306,household38,household33,HIT
0.307,household09,household33,HIT
0.312,household12,household33,HIT
0.317,household37,household33,HIT
0.321,household29,household33,HIT
0.332,household22,household33,HIT
0.345,household17,household33,HIT
0.348,household20,household33,HIT
0.356,household07,household33,HIT
0.373,household21,household33,HIT
0.398,household05,household33,HIT
0.399,household34,household33,HIT
0.466,household18,household33,HIT
0.485,household08,household33,HIT
0.503,household19,household33,HIT
0.542,household39,household33,HIT
0.562,household32,household33,HIT
0.58,household35,household33,HIT
0.679,household04,household33,HIT
0.742,household24,household33,HIT
0.898,household25,household33,HIT
0.908,household30,household33,HIT
0.965,household14,household33,HIT
0.969,household28,household33,HIT
1.075,household15,household33,HIT
1.077,household16,household33,HIT
1.113,household31,household33,HIT
1.165,household13,household33,HIT
1.177,household33,household33,HIT
1.201,household02,household33,HIT
1.214,household03,household33,HIT
1.225,household06,household33,HIT
1.253,household01,household33,HIT
1.266,household26,household33,HIT
1.303,household27,household33,HIT
1.323,household40,household33,HIT
1.373,household37,household33,HIT
1.374,household07,household33,HIT
1.374,household38,household33,HIT
1.384,household11,household33,HIT
1.392,household36,household33,HIT
1.437,household12,household33,HIT
1.449,household34,household33,HIT
1.455,household21,household33,HIT
1.456,household22,household33,HIT
1.466,household20,household33,HIT
1.477,household09,household33,HIT
1.477,household10,household33,HIT
1.485,household23,household33,HIT
1.494,household05,household33,HIT
1.498,household17,household33,HIT
1.502,household08,household33,HIT
1.514,household29,household33,HIT
1.54,household19,household33,HIT
1.622,household18,household33,HIT
1.68,household32,household33,HIT
1.721,household35,household33,HIT
1.723,household39,household33,HIT
1.814,household04,household33,HIT
1.875,household24,household33,HIT
1.985,household30,household33,HIT
1.994,household14,household33,HIT
2.043,household25,household33,HIT
2.129,household28,household33,HIT
2.141,household15,household33,HIT
2.189,household13,household33,HIT
2.222,household33,household33,HIT
2.223,household16,household33,HIT
2.289,household26,household33,HIT
2.294,household31,household33,HIT
2.338,household06,household33,HIT
2.352,household02,household33,HIT
2.387,household03,household33,HIT
2.412,household01,household33,HIT
2.442,household07,household33,HIT
2.447,household38,household33,HIT
2.449,household36,household33,HIT
2.46,household27,household33,HIT
2.461,household34,household33,HIT
2.488,household21,household33,HIT
2.499,household22,household33,HIT
2.506,household05,household33,HIT
2.522,household40,household33,HIT
2.544,household23,household33,HIT
2.544,household37,household33,HIT
2.547,household08,household33,HIT
2.557,household11,household33,HIT
2.558,household12,household33,HIT
2.599,household20,household33,HIT
2.631,household09,household33,HIT
2.641,household17,household33,HIT
2.648,household10,household33,HIT
2.662,household29,household33,HIT
2.705,household18,household33,HIT
2.72,household19,household33,HIT
2.732,household39,household33,HIT
2.8,household35,household33,HIT
2.832,household32,household33,HIT
2.906,household04,household33,HIT
3.027,household24,household33,HIT
3.04,household30,household33,HIT
3.11,household25,household33,HIT
3.128,household14,household33,HIT
3.164,household15,household33,HIT
3.173,household28,household33,HIT
3.208,household13,household33,HIT
3.242,household33,household33,HIT
3.295,household31,household33,HIT
3.397,household16,household33,HIT
3.401,household26,household33,HIT
3.416,household06,household33,HIT
3.464,household07,household33,HIT
3.48,household27,household33,HIT
3.49,household02,household33,HIT
3.545,household36,household33,HIT
3.561,household05,household33,HIT
3.578,household03,household33,HIT
3.578,household40,household33,HIT
3.594,household01,household33,HIT
3.606,household37,household33,HIT
3.613,household22,household33,HIT
3.619,household38,household33,HIT
3.639,household23,household33,HIT
3.651,household08,household33,HIT
3.654,household34,household33,HIT
3.657,household12,household33,HIT
3.686,household20,household33,HIT
3.687,household21,household33,HIT
3.745,household11,household33,HIT
3.757,household17,household33,HIT
3.782,household10,household33,HIT
3.816,household29,household33,HIT
3.828,household09,household33,HIT
3.88,household35,household33,HIT
3.884,household39,household33,HIT
3.9,household18,household33,HIT
3.92,household19,household33,HIT
3.984,household04,household33,HIT
4.029,household32,household33,HIT
4.124,household24,household33,HIT
4.21,household30,household33,HIT
4.24,household25,household33,HIT
4.246,household14,household33,HIT
4.276,household28,household33,HIT
4.33,household31,household33,HIT
4.347,household15,household33,HIT
4.407,household13,household33,HIT
4.425,household26,household33,HIT
4.439,household33,household33,HIT
4.473,household16,household33,HIT
4.478,household06,household33,HIT
4.497,household27,household33,HIT
4.567,household36,household33,HIT
4.611,household02,household33,HIT
4.625,household07,household33,HIT
4.652,household03,household33,HIT
4.662,household22,household33,HIT
4.684,household08,household33,HIT
4.687,household34,household33,HIT
4.689,household05,household33,HIT
4.734,household12,household33,HIT
4.771,household38,household33,HIT
4.776,household40,household33,HIT
4.777,household23,household33,HIT
4.786,household01,household33,HIT
4.786,household21,household33,HIT
4.79,household20,household33,HIT
4.795,household37,household33,HIT
4.823,household29,household33,HIT
4.838,household11,household33,HIT
4.871,household09,household33,HIT
4.938,household17,household33,HIT
4.961,household19,household33,HIT
4.969,household18,household33,HIT
4.978,household10,household33,HIT
4.98,household39,household33,HIT
4.992,household35,household33,HIT
5.128,household04,household33,HIT
