page,tool,lang,kind,ranked,probes_passed,probes_total,probe_pass_rate,retention,boilerplate_leakage,output_bytes
01-wikipedia-markdown,turndown,JavaScript,converter,True,31,36,0.8333,0.9725,0.7368,87480
01-wikipedia-markdown,turndown (no gfm plugin),JavaScript,converter,False,32,36,0.8571,0.9728,0.7368,85448
01-wikipedia-markdown,node-html-markdown,JavaScript,converter,True,32,36,0.9048,0.9608,0.6947,104197
01-wikipedia-markdown,markdownify,Python,converter,True,34,36,0.9524,0.9608,0.6947,64083
01-wikipedia-markdown,html2text,Python,converter,True,32,36,0.881,0.9608,0.6842,64101
01-wikipedia-markdown,html-to-markdown (py),Python,converter,True,34,36,0.9524,0.9596,0.4105,69109
01-wikipedia-markdown,trafilatura,Python,extractor,True,31,36,0.881,0.8721,0.0,42734
01-wikipedia-markdown,markitdown,Python,extractor,True,34,36,0.9524,0.9583,0.0,53402
01-wikipedia-markdown,pandoc,Haskell,converter,True,17,36,0.4762,0.8194,0.1474,44548
01-wikipedia-markdown,pandoc (default gfm),Haskell,converter,False,21,36,0.5238,0.9833,0.1579,206682
01-wikipedia-markdown,html-to-markdown (go),Go,converter,True,33,36,0.9048,0.9627,0.6842,72509
01-wikipedia-markdown,htmd,Rust,converter,True,33,36,0.9048,0.9672,0.7368,111420
02-wikibooks-latex-mathematics,turndown,JavaScript,converter,True,18,27,0.6857,0.9718,0.697,231911
02-wikibooks-latex-mathematics,turndown (no gfm plugin),JavaScript,converter,False,23,27,0.8286,0.963,0.697,84117
02-wikibooks-latex-mathematics,node-html-markdown,JavaScript,converter,True,22,27,0.8286,0.9598,0.6667,120214
02-wikibooks-latex-mathematics,markdownify,Python,converter,True,26,27,0.9429,0.9599,0.6667,75854
02-wikibooks-latex-mathematics,html2text,Python,converter,True,26,27,0.9429,0.9593,0.6667,81473
02-wikibooks-latex-mathematics,html-to-markdown (py),Python,converter,True,25,27,0.9143,0.9838,0.4394,228934
02-wikibooks-latex-mathematics,trafilatura,Python,extractor,True,22,27,0.7714,0.8982,0.0,58089
02-wikibooks-latex-mathematics,markitdown,Python,extractor,True,24,27,0.8857,0.9599,0.6667,78601
02-wikibooks-latex-mathematics,pandoc,Haskell,converter,True,16,27,0.6,0.8106,0.1515,58937
02-wikibooks-latex-mathematics,pandoc (default gfm),Haskell,converter,False,13,27,0.4571,0.9702,0.1515,247605
02-wikibooks-latex-mathematics,html-to-markdown (go),Go,converter,True,27,27,1.0,0.9608,0.6667,99477
02-wikibooks-latex-mathematics,htmd,Rust,converter,True,23,27,0.8286,0.9624,0.697,119225
03-mdn-html-table,turndown,JavaScript,converter,True,26,28,0.9143,0.5403,0.3102,75102
